coef,term
-3.72393950254,consent senat proceed
-3.59574641609,civil right
-2.83667495354,middl class
-2.69938883006,announc senat
-2.6307872192,citizen unit
-2.61648597056,away capitol
-2.54490352358,rhode island
-2.24904210355,african american
-2.2365664053,pleas join
-2.23501657169,morn busi
-2.19211758155,rollcal vote
-2.12902091112,tax cut
-2.05812001067,republican colleagu
-2.03063379559,presid ask unanim
-1.9658609757,laid upon tabl
-1.94793665936,interven action debat
-1.94470821821,super pac
-1.9114987901,record vote
-1.86723455463,gentleman massachusett mr
-1.77671558184,republican leadership
