coef,term
5.5244778276,wo nt
4.14609231689,obama administr
4.04758762314,want make
4.00006375366,food stamp
3.90498269848,take place
3.21418552021,nt know
3.09512012254,nt work
2.89349371545,state depart
2.80695116448,level play field
2.7468766406,would make
2.70513019973,would say
2.63914722051,spend money
2.47382234248,new farm bill
2.38220133946,go back
2.37519011735,way get
2.34916722305,washington dc
2.34694487837,million dollar
2.25290160882,last night
2.14691689335,need get
2.03933001443,secretari agricultur
